moviename,openingdate,sales,attendance,screen,playcount,country,country_label,distributor,distributor_label,director,actor,filmrank,filmrank_label,openingmonth
극한직업,2019-01-23,139651845516,16265618,2003,292584,domestic,0,major_domestic,0,6834886,3,PG 15,0,1
7번방의 선물,2013-01-23,91431914670,12811206,866,166815,domestic,0,major_domestic,0,4590240,3,PG 15,0,1
수상한 그녀,2014-01-22,62705348249,8657982,1027,136975,domestic,0,major_domestic,0,5723297,3,PG 15,0,1
럭키,2016-10-13,56444461256,6975290,1234,155977,domestic,0,major_domestic,0,4078625,3,PG 15,0,10
마스터,2016-12-21,39784641065,4935320,1501,70786,domestic,0,major_domestic,0,4935320,3,PG 15,0,12
조선명탐정 : 각시투구꽃의 비밀,2011-01-27,35841769500,4786259,634,84189,domestic,0,major_domestic,0,3700803,3,PG 12,1,1
바람과 함께 사라지다,2012-08-08,34614661161,4909937,694,78591,domestic,0,major_domestic,0,2773699,3,PG 12,1,8
조선명탐정 : 사라진 놉의 딸,2015-02-11,30456879428,3872015,825,80499,domestic,0,major_domestic,0,3700803,3,PG 12,1,2
댄싱퀸,2012-01-18,30130775500,4058225,544,80987,domestic,0,major_domestic,0,5951226,2,PG 12,1,1
돈,2019-03-20,28870244062,3389125,1431,120809,domestic,0,major_domestic,0,1917918,3,PG 15,0,3
인턴,2015-09-24,28517727148,3610564,659,81552,abroad,1,major_abroad,1,1922323,2,PG 12,1,9
박수건달,2013-01-09,28343986569,3893216,603,60585,domestic,0,major_domestic,0,3893216,3,PG 15,0,1
그것만이 내 세상,2018-01-17,27450805382,3419339,956,95431,domestic,0,major_domestic,0,2154087,3,PG 12,1,1
탐정: 리턴즈,2018-06-13,26909459678,3152872,1137,107907,domestic,0,major_domestic,0,2152990,3,PG 15,0,6
스물,2015-03-25,23563421686,3044811,926,100161,domestic,0,major_domestic,0,6834886,3,PG 15,0,3
히트맨,2020-01-22,20614278000,2406232,1122,87782,domestic,0,major_domestic,0,2406232,3,PG 15,0,1
탐정 : 더 비기닝,2015-09-24,20463956973,2625686,764,54995,domestic,0,major_domestic,0,2317636,2,PG 15,0,9
